Agency,Account,Location,Project,Amount,Requestor(s)
National Park Service,Historic Preservation Fund,MS,"Columbus Cultural Heritage Foundation for Tennessee Williams House Museum Preservation, Save America's Treasures.","375,000",Wicker
National Park Service,Historic Preservation Fund,NJ,"Save Lucy Committee, Inc. for Repairs and Restoration, Save Amer- ica's Treasures.","350,000",Booker
National Park Service,Historic Preservation Fund,NM,"New Mexico Department of Cultural Affairs for Fort Selden Historic Site Water System Improvement, Save America's Treasures.","500,000","Heinrich, Luján"
National Park Service,Historic Preservation Fund,NM,"Pueblo of Laguna for Saint Joseph's Church Building Historic Site, Tribal Heritage Grants.","500,000",Luján
National Park Service,Historic Preservation Fund,NY,"Boscobel Restoration, Inc. for Restoration of the Boscobel House, Save America's Treasures.","500,000",Schumer
National Park Service,Historic Preservation Fund,NY,"George Eastman Museum for Historic Restoration, Save America's Treasures.","500,000",Schumer 176
National Park Service,Historic Preservation Fund,NY,"Manhattan Theatre Club, Inc. for Samuel J. Friedman Theatre Roof Restoration, Save America's Treasures.","500,000",Schumer
National Park Service,Historic Preservation Fund,NY,"The Fort Ticonderoga Association for Barracks Stabilization and Restoration, Save America's Treasures.","500,000","Gillibrand, Schumer"
National Park Service,Historic Preservation Fund,PA,"Mt. Zion Historical, Cultural and Educational Community Center and Sepulcher for Old Mt. Zion Historical Museum Restoration Project, African American Civil Rights.","500,000",Fetterman
National Park Service,Historic Preservation Fund,PA,"Rivers of Steel Heritage Corporation for Rivers of Steel Carrie Blast Furnaces National Historic Landmark Preservation and Restora- tion, Save America's Treasures.","500,000",Fetterman
National Park Service,Historic Preservation Fund,RI,"Providence Performing Arts Center for Historic Restoration, Save America's Treasures.","500,000",Reed
National Park Service,Historic Preservation Fund,VT,"Bennington First Congregational Church for Preservation of the First Congregational Church, Save America's Treasures.","500,000",Welch
National Park Service,Historic Preservation Fund,VT,"Town of South Hero for Historic Meeting House Preservation, Save America's Treasures.","400,000",Welch
National Park Service,Historic Preservation Fund,WV,"West Virginia Independence Hall/West Virginia Department of Tour- ism for Exterior Building Repairs, Save America's Treasures.","500,000",Capito
National Park Service,National Recreation and Preservation,WA,NatureBridge for Rosemary Inn Infrastructure Upgrades,"250,000",Murray
